,0,1,2,3,4,5,6
0,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,0.9570852542063155,0.2089288146746817,-1.1761509820032654,-3.012822285944921,1.0221912294830597,-2.4135252182128757,-0.35525979106964173
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,3.4499712055466416,0.9202254767928467,-0.924665588902651,0.2958109067618072,1.7384046630198384,0.025187472425133632,1.359077586435078
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,1.7283056616228447,0.3813647892344987,0.6081136940308367,-0.017902113043875786,0.17510466735508248,1.2344580441774506,-0.652541825726248
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,0.909386856317894,-0.4185405579216136,-0.21662027688530297,-0.901226877594226,-0.41555699239204014,0.3209864188128455,-1.7923177895518154
41,,,,,,,
42,1.5731892184589316,-0.9717487685559323,0.018168690941909732,-0.81816191710319,-0.8024478961677549,0.2785841669533532,-0.9262830257082133
43,,,,,,,
44,,,,,,,
45,-0.048187080773072766,-1.6657508678321538,-0.3528473568793075,1.236818930320383,1.1570674455029677,0.3987618919770565,-0.5723363632420069
46,1.1479606435448049,-0.33471693930296464,-1.502204795038583,-0.134382859803386,-2.6965498687440497,-0.5561322975041999,-1.273167485226646
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,0.6630155985105427,0.566594265548591,-0.5992346757897875,-0.8713509032118931,-0.9270461457511648,1.9004002117290353,1.4512596279531969
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,-0.6030905022237678,-2.20048533951106,-1.2763824184005101,-0.3327985824093175,-0.3240293327983447,-0.9824512862730229,1.5914879563677962
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,0.15799340952560545,0.10895997350690927,0.5392371617714018,0.3316454325962756,0.22228858158332662,0.8890939893729107,-0.29648487664078776
72,-0.48689645449015734,-0.7534330573424625,0.8910736542334,0.8542847302547684,-0.3739072594243338,-0.7588516749623083,-0.2074674798759695
73,-0.4215371671514537,-0.30790958869505636,-0.0820918454077976,0.5156421987622272,-0.26263564605888645,-0.8313136711120124,-0.6695526152865618
74,-0.21366277439854858,-0.26084033107993515,0.4491419461250421,0.5070573735985964,-0.02730852074597129,0.4351960009035305,-0.1181907970540882
75,0.16486613177366138,-0.5423234411831463,1.3882011501121663,-1.1003321259149876,-1.2588756868841915,1.693160477892827,0.2635133702586859
76,-0.24962395177510704,-0.7294992188179465,1.2974761469058984,-0.39035596482707285,0.22364888001032648,0.17015093271212095,-0.4998213554633694
77,-0.7496224282826696,0.5125658867105776,-1.8365479256993718,1.125802198905641,0.12119736402413614,-1.253970580314649,0.1599644839139102
78,-1.2905958685042023,-0.28070175091099797,-0.6785358149183284,1.0920978450563892,0.7350087414570117,-0.02164934615345422,0.9118079770301973
79,-0.4274059653217024,0.521299382744858,0.9819799193045285,0.841146272393845,0.007797942213990738,-0.3280462317341951,-0.3103983620640141
80,-0.9628941605556324,0.709958143392353,-0.9832797588871782,-1.141987847553336,-0.3997947514797442,-1.3700048230535038,-0.2313904655813677
81,-0.05432833664065899,-0.7729116627930482,0.818184484267518,0.8100165318820216,1.1768733124456734,1.1126221079943799,-0.5505328613416894
82,-0.5455089495038238,1.097274226341673,0.056065882155195125,0.7510688783191546,1.4593804318237784,1.7162840752709094,0.11383555166749758
83,-1.3147166110758983,-1.738880434487358,1.669578364884381,0.26924942571772875,-0.4888047593518135,0.5643604971704025,-0.46658499285443467
84,-0.10714720541853942,0.6477492044970904,0.46280798406217394,-0.22663019658136377,-1.3462965912463414,-0.6299857943409838,0.7093944688953399
85,-0.3747205999981516,0.9526523042999541,-0.8004078496553563,0.6368602587426697,-0.8735096487949949,-0.901781534197172,0.6472220696334743
86,-0.24735597308952553,-1.0968823365138485,0.7607558358720962,-2.376288174188681,1.2981106214383051,-0.9121194174729181,-2.1279224331285187
87,-0.2999806696793031,-0.11607735956339527,0.5956349032368082,-0.1500754384889724,0.10282953159575232,-0.2246825296412241,-0.668309452479325
88,,,,,,,
89,-1.038868844849178,1.1446125896635646,-2.145763241876976,-0.02955337655642776,-0.2307827346984828,1.1711293298401584,1.2730263534491506
90,-1.183438732333251,0.5370990814005928,0.03660268269684103,0.6801559597377653,-0.6298117374425608,-0.25626051270176464,0.484628722674285
91,-0.2010385755400543,1.3890977629635173,0.5267726515828026,0.21034877148748196,-0.44021268418257864,0.304935727055431,0.16276558752379852
92,,,,,,,
93,0.06884687209745838,2.492319752739209,1.4749373781614168,1.3458629486848965,2.0576668442100043,-0.7745364266132605,2.5905782164922884
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
