,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,,,,,,,,,,,,-1.7148160424389376
1,,,,,,,,,,,,,,-1.680173294106838
2,,,,,,,,,,,,,,-1.6455305457747382
3,,,,,,,,,,,,,,-1.6108877974426383
4,,,,,,,,,,,,,,-1.5762450491105386
5,,,,,,,,,,,,,,-1.541602300778439
6,,,,,,,,,,,,,,-1.5069595524463393
7,,,,,,,,,,,,,,-1.4723168041142394
8,,,,,,,,,,,,,,-1.4376740557821397
9,,,,,,,,,,,,,,-1.40303130745004
10,,,,,,,,,,,,,,-1.36838855911794
11,,,,,,,,,,,,,,-1.3337458107858404
12,,,,,,,,,,,,,,-1.2991030624537407
13,,,,,,,,,,,,,,-1.2644603141216408
14,,,,,,,,,,,,,,-1.2298175657895412
15,,,,,,,,,,,,,,-1.1951748174574415
16,,,,,,,,,,,,,,-1.1605320691253416
17,,,,,,,,,,,,,,-1.1258893207932419
18,,,,,,,,,,,,,,-1.0912465724611422
19,,,,,,,,,,,,,,-1.0566038241290423
20,,,,,,,,,,,,,,-1.0219610757969426
21,,,,,,,,,,,,,,-0.9873183274648429
22,,,,,,,,,,,,,,-0.9526755791327431
23,,,,,,,,,,,,,,-0.9180328308006434
24,,,,,,,,,,,,,,-0.8833900824685437
25,,,,,,,,,,,,,,-0.8487473341364439
26,,,,,,,,,,,,,,-0.8141045858043442
27,,,,,,,,,,,,,,-0.7794618374722444
28,,,,,,,,,,,,,,-0.7448190891401446
29,,,,,,,,,,,,,,-0.7101763408080449
30,,,,,,,,,,,,,,-0.6755335924759451
31,,,,,,,,,,,,,,-0.6408908441438455
32,,,,,,,,,,,,,,-0.6062480958117457
33,,,,,,,,,,,,,,-0.5716053474796459
34,,,,,,,,,,,,,,-0.5369625991475462
35,,,,,,,,,,,,,,-0.5023198508154464
36,,,,,,,,,,,,,,-0.46767710248334665
37,,,,,,,,,,,,,,-0.4330343541512469
38,,,,,,,,,,,,,,-0.3983916058191471
39,,,,,,,,,,,,,,-0.3637488574870474
40,,,,,,,,,,,,,,-0.32910610915494765
41,,,,,,,,,,,,,,-0.2944633608228479
42,4.3193850135490965,0.4509799730752982,4.391521118231002,1.398361537248494,0.4176611145975975,2.0171301165611566,3.8602294042511676,2.2772495895698768,-0.780484199037153,0.5555628198534256,-1.5481472617979803,-3.0686193109852247,-3.2284552219168816,-0.2598206124907481
