,artist_name,artist_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,popularity,count,genre
4,Bob Dylan,66915,0.512597985,0.477932051,0.5519337,126.1601493,-11.18432967,1,7,0.562566789,0.03421143,0.308977656,0.06453489,256713.4203,30.86080586,1092,Pop/Rock
5,The Rolling Stones,894465,0.5244463770000001,0.719914976,0.655331787,123.7647169,-7.830264734,1,0,0.293788178,0.17613705699999999,0.268443382,0.051439902999999995,229705.9623,34.57391304,1035,Pop/Rock
6,The Beach Boys,41874,0.5029446679999999,0.532130785,0.6339565389999999,125.9920362,-9.925742455,1,9,0.398488245,0.11536290699999999,0.191189235,0.04397062400000001,148845.0946,27.95774648,994,Pop/Rock
15,The Beatles,754032,0.5219754560000001,0.546826974,0.619659538,121.07474609999998,-9.682696233,1,0,0.36035593200000005,0.051906132,0.223001337,0.053395017999999995,174307.87,48.06075334,823,Pop/Rock
16,Fleetwood Mac,182900,0.577665829,0.517276131,0.607894221,123.283103,-11.97356533,1,9,0.359766385,0.130338418,0.243842211,0.041397738999999996,240890.6935,34.87437186,796,Pop/Rock
17,Led Zeppelin,139026,0.42156213,0.688843195,0.5059875739999999,118.88716570000001,-10.20231657,1,2,0.223537225,0.15842087900000001,0.22633284,0.062070414000000004,327086.2959,41.41715976,676,Pop/Rock
20,Elton John,796734,0.523767606,0.586008451,0.53085,128.0431092,-9.655693662000001,1,0,0.35095861700000003,0.011542423999999999,0.222402641,0.04238081,278983.8732,38.0915493,568,Pop/Rock
24,The Who,577627,0.472034749,0.723826255,0.503839768,127.2440116,-8.821011582999999,1,2,0.223891963,0.069391678,0.252487645,0.062551158,239976.7066,29.76833977,518,Pop/Rock
26,Grateful Dead,988440,0.5586510720000001,0.51783115,0.629833918,120.6570078,-12.06088889,1,9,0.43785781700000004,0.134282647,0.327447953,0.045292007999999995,337784.3119,32.39961014,513,Pop/Rock
33,David Bowie,531986,0.497813004,0.595268161,0.547633632,122.769713,-11.26176906,1,0,0.254577359,0.076402439,0.208974888,0.059765695,242765.4619,41.72869955,446,Pop/Rock
35,The Kinks,100160,0.547176471,0.7079601809999999,0.675529864,122.030543,-8.109782805,1,7,0.29628701399999996,0.022411032999999997,0.183461538,0.055244344,186075.7285,29.97737557,442,Pop/Rock
42,Pink Floyd,346336,0.38325797100000003,0.415595169,0.257658454,116.3254058,-15.17795169,1,7,0.38833553,0.299680868,0.35327681200000005,0.059262802,313983.4928,45.28985507,414,Pop/Rock
45,Billy Joel,85915,0.5409847720000001,0.614515736,0.548052284,122.1437081,-9.268149746,1,0,0.366408325,0.02118912,0.258006599,0.058816497,260732.5457,40.14213198,394,Pop/Rock
46,Eric Clapton,187478,0.570606218,0.562859067,0.65373057,115.87039640000002,-11.202445599999999,1,7,0.35756916,0.15113145,0.344960881,0.052336269000000005,271236.5907,36.01036269,386,Pop/Rock
53,Jimmy Buffett,350840,0.636127321,0.462122016,0.667419098,122.4274191,-13.3606313,1,7,0.371228806,0.009146047,0.186968435,0.043740318,226808.9204,34.440318299999994,377,Pop/Rock
57,Genesis,199995,0.43217575799999997,0.564746667,0.37555697,118.4097697,-11.26315758,1,7,0.254499173,0.105257869,0.25935697,0.046919999999999996,339852.89700000006,30.45454545,330,Pop/Rock
62,The Moody Blues,404434,0.366956113,0.489456426,0.40670219399999996,114.1238527,-11.35815674,1,9,0.408954276,0.19588762399999998,0.252684639,0.044727586,245753.6395,26.84952978,319,Pop/Rock
66,Nirvana,355142,0.43144871799999995,0.7638910259999999,0.43876346200000005,134.35212819999998,-8.324307692,1,1,0.107785083,0.107125463,0.179405769,0.061502564,213553.2564,46.11538462,312,Pop/Rock
69,John Prine,814751,0.5543268610000001,0.355010615,0.623508091,127.28475729999998,-15.7017055,1,7,0.558669903,0.004478615,0.216712945,0.039378964,208662.9935,35.54368932,309,Pop/Rock
71,James Taylor,204386,0.6054935060000001,0.340864286,0.509705195,111.0115909,-14.25425974,1,0,0.548295455,0.014883075,0.20443961,0.039788312,213511.9773,35.33116883,308,Pop/Rock
74,Rush,203008,0.44739344299999995,0.7804380329999999,0.47222163899999997,130.5766951,-9.191606557,1,2,0.091619336,0.097679931,0.33487606600000003,0.052228852,353015.1246,35.96721311,305,Pop/Rock
80,Neil Young,379125,0.511676871,0.39708877600000003,0.49464149700000004,126.16768710000001,-12.94232653,1,7,0.460808884,0.046175556,0.256286054,0.037686054,254191.5612,38.60544218,294,Pop/Rock
89,Bee Gees,43714,0.5585650560000001,0.510841636,0.597417844,107.1190781,-11.20418959,1,7,0.24767380100000003,0.046172442,0.245669145,0.039677695,228251.3048,42.55390335,269,Pop/Rock
100,The Byrds,631774,0.469870229,0.57978626,0.6622793889999999,120.5693893,-10.16083206,1,2,0.33432828800000003,0.059134075,0.23938167899999999,0.037782443,167257.4122,27.98473282,262,Pop/Rock
